 Section 	 Section Descr. FR	No agrément	Dénomination	street_address	city	 Catégorie 	Activité associée 	 Espèce	 Remarques 	Adresse	slugadresse	lat	lng
0	Etablissements activité générale	KF103215	La Fagnarde Sprl	Rue du Camp,Sourbrodt  44 	4950 Waimes/Weismes	CS				Rue du Camp,Sourbrodt  44  ,4950 Waimes/Weismes	Rue du Camp, Sourbrodt  44  , 4950 Waimes/Weismes , Belgium	50,4703453	6,1483805
0	Etablissements activité générale	KF103225	BIOS	Neringstraat  24 	3300 Tienen	CS				Neringstraat  24  ,3300 Tienen	Neringstraat  24  , 3300 Tienen , Belgium	50,7911404	4,9393904
0	Etablissements activité générale	KF103233	MAES TRANSPORT	Molenstraat(DIK)  14 A 	8600 Diksmuide	CS				Molenstraat(DIK)  14 A  ,8600 Diksmuide	Molenstraat  14 A  , 8600 Diksmuide , Belgium	51,0736384	2,7814063
0	Etablissements activité générale	KF103256	DE BRANDT	Eikstraat  6 B 	9080 Lochristi	CS	CP, MP, PP, RW			Eikstraat  6 B  ,9080 Lochristi	Eikstraat  6 B  , 9080 Lochristi , Belgium	51,1018829	3,8813486
0	Etablissements activité générale	KF103260	Pietercil Logistics	Ambachtsstraat  1 	3980 Tessenderlo	CS				Ambachtsstraat  1  ,3980 Tessenderlo	Ambachtsstraat  1  , 3980 Tessenderlo , Belgium	51,0767	5,1525811
0	Etablissements activité générale	KF103265	Mosselhandel Bart	Ambachtstraat  2 	8370 Blankenberge	CS			fl and/of sn	Ambachtstraat  2  ,8370 Blankenberge	Ambachtstraat  2  , 8370 Blankenberge , Belgium	51,2964462	3,1522253
0	Etablissements activité générale	KF103265	Mosselhandel Bart	Ambachtstraat  2 	8370 Blankenberge	CS				Ambachtstraat  2  ,8370 Blankenberge	Ambachtstraat  2  , 8370 Blankenberge , Belgium	51,2964462	3,1522253
0	Etablissements activité générale	KF103282	JACOBS KOELING NV	Breestraat  108 	3850 Nieuwerkerken (Limb.)	CS				Breestraat  108  ,3850 Nieuwerkerken (Limb.)	Breestraat  108  , 3850 Nieuwerkerken  , Belgium	50,8856977	5,24751
0	Etablissements activité générale	KF103295	MACHA ALLAH VIANDES	Rue Ropsy Chaudron  24 b 18	1070 Anderlecht	CS	CP			Rue Ropsy Chaudron  24 b 18 ,1070 Anderlecht	Rue Ropsy Chaudron  24 b 18 , 1070 Anderlecht , Belgium	50,8429295	4,3291257
0	Etablissements activité générale	KF103298	VDS Food Wavre	Avenue Léonard de Vinci  6 	1300 Wavre	CS	CP, FFPP, MP, RW		fl and/of sn	Avenue Léonard de Vinci  6  ,1300 Wavre	Avenue Léonard de Vinci  6  , 1300 Wavre , Belgium	50,7290099	4,5855531
