Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
39-055P	"AB ""Rokiškio sūris"" Gudelių psp"	Vilkaviškio raj.	Gudelių k., Šeimenos sen.	Milk collection point,	 EU	Gudelių k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,6527219	23,0799289
39-056P	"AB ""Rokiškio sūris"" Pilviškių psp"	Vilkaviškio raj.	Pilviškių mstl., Pilviškių sen.	Milk collection point,	 EU	Pilviškių mstl., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,7207042	23,2208547
39-057P	"UAB ""Marijampolės pieno konservai"" Ramoniškių psp"	Vilkaviškio raj.	Ramoniškių k., Pilviškių sen.	Milk collection point,	 EU	Ramoniškių k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,6756789	23,2759869
39-058P	"AB ""Rokiškio sūris"" Paežerių psp"	Vilkaviškio raj.	Paežerių k., Pilviškių sen.	Milk collection point,	 EU	Paežerių k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,666571	23,186518
39-059P	"UAB ""Marijampolės pieno konservai"" Pajevonio psp"	Vilkaviškio raj.	Pajevonio k., Pajevonio sen.	Milk collection point,	 EU	Pajevonio k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,529509	22,827411
39-06	L.Kudirkos IĮ	Vilkaviškio raj.	Kybartai, Nepriklausomybės g. 41	Meat, PP;mp	 EU	Kybartai, Nepriklausomybės g. 41 , Vilkaviškio raj. , Lithuania	54,6344701	22,7682888
39-060P	"UAB ""Marijampolės pieno konservai"" Bartninkų psp"	Vilkaviškio raj.	Bartninkų k., Bartninkų sen.	Milk collection point,	 EU	Bartninkų k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,5109969	23,0306174
39-062P	"ŽŪK ""Normas"" Virbalio psp"	Vilkaviškio raj.	Virbalio mstl., Virbalio sen.	Milk collection point,	 EU	Virbalio mstl., Virbalio sen. , Vilkaviškio raj. , Lithuania	54,6297329	22,8158809
39-064P	"UAB ""Marijampolės pieno konservai"" Meiliūnų psp"	Vilkaviškio raj.	Totorkiemio k., Vištyčio sen.	Milk collection point,	 EU	Totorkiemio k., Vištyčio sen. , Vilkaviškio raj. , Lithuania	54,501804	22,7217749
39-065P	"ŽŪK ""Senoji Kryžkelė"" Alksnėnų psp"	Vilkaviškio raj.	Alksnėnų k., Pilviškių sen.	Milk collection point,	 EU	Alksnėnų k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,7259869	23,1127859
39-066P	"ŽŪK ""Senoji Kryžkelė"" Lygumų psp"	Vilkaviškio raj.	Šiaudiniškių k., Kybartų sen.	Milk collection point,	 EU	Šiaudiniškių k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,660279	22,8468439
39-069P	"ŽŪK ""Melbras"" Bartninkų psp"	Vilkaviškio raj.	Bartninkų k., Bartninkų sen.	Milk collection point,	 EU	Bartninkų k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,5109969	23,0306174
39-07	Ūkininko A. Padimansko mėsos cechas	Vilkaviškio raj.	Bebrininkų k., Pilviškių sen.	Meat, PP,mp;SH, P	 EU	Bebrininkų k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,6939089	23,2999829
39-072P	"UAB ""Marijampolės pieno konservai"" Arminų psp"	Vilkaviškio raj.	Sūdavos k., Klausučių sen.	Milk collection point,	 EU	Sūdavos k., Klausučių sen. , Vilkaviškio raj. , Lithuania	54,7333519	23,0120349
