Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
11-005 V	"UAB ""Medvinga"""	Alytaus m.	Jotvingių g. 10A, Alytus	Butchers, MC;MM;MP	domestic trade	Jotvingių g. 10A, Alytus , Alytaus m. , Lithuania	54,3961842	24,0412109
11-006 V	"UAB ""Palink"""	Alytaus m.	Jaunimo g. 24-1	Butchers, CP;MM;MP	domestic trade	Jaunimo g. 24-1 , Alytaus m. , Lithuania	54,3913987	24,0219898
11-008V	Vidos Slavinskienės	Alytaus m.	Perlojos g. 5, Alytus	Butchers, CP;MM;MP	domestic trade	Perlojos g. 5, Alytus , Alytaus m. , Lithuania	54,3869168	24,054183
11-009V	"UAB ""Medvinga"""	Alytaus m.	Alytus, Jazminų g. 1	Butchers, CP;MM;MP	domestic trade	Alytus, Jazminų g. 1 , Alytaus m. , Lithuania	54,400658	24,0213488
11-010 V	"UAB ""Norfos mažmena"""	Alytaus m.	Žiburio g. 14	Butchers, CP;MM;MP	domestic trade	Žiburio g. 14 , Alytaus m. , Lithuania	54,3979922	24,0337077
11-011 V	MAXIMA LT, UAB	Alytaus m.	Santaikos g. G, Alytus	Butchers, CP;MP;MM	domestic trade	Santaikos g. G, Alytus , Alytaus m. , Lithuania	54,3867522	24,0233175
11-013 V	"UAB ""Norfos mažmena"""	Alytaus m.	Santaikos g. 28b	Butchers, CP;MM;MP	domestic trade	Santaikos g. 28b , Alytaus m. , Lithuania	54,3885115	24,0326081
11-015 V	UAB Norfos mažmena	Alytaus m.	Jurgiškių g. 2, Alytus	Butchers, CP;MM;MP	domestic trade	Jurgiškių g. 2, Alytus , Alytaus m. , Lithuania	54,399672	24,0134295
11-01P	"UAB ""Rivona"""	Alytaus m.	Putinų g. 33, Alytus	Milk establishments, PP;	 EU	Putinų g. 33, Alytus , Alytaus m. , Lithuania	54,4366379	24,0352481
11-02	"UAB ""Aisvita"""	Alytaus m.	Pramonės g. 8	Cold stores, CS;st	 EU	Pramonės g. 8 , Alytaus m. , Lithuania	54,4261361	24,0265438
11-03	"UAB ""Baltic casings"""	Alytaus m.	Pramonės g. 31, Alytus	Other establishments, st	 EU	Pramonės g. 31, Alytus , Alytaus m. , Lithuania	54,4326592	24,0146815
11-04	"UAB ""Lietuviška jautiena"""	Alytaus m.	Pramonės g. 1, Alytus	Meat, CP;MM,MP	 EU	Pramonės g. 1, Alytus , Alytaus m. , Lithuania	54,4202846	24,0202914
12-001 P	Darijaus Mockevičiaus ūkis	Birštono sav.	Jundeliškių k., Birštono sav.,	The producer of small quantities,	domestic trade	Jundeliškių k., Birštono sav., , Birštono sav. , Lithuania	54,582145	24,1243831
12-002 P	Agnės Buinickaitės ūkis	Birštono sav.	Kernuvių k., Birštono sav.	The producer of small quantities,	domestic trade	Kernuvių k., Birštono sav. , Birštono sav. , Lithuania		
12-003 V	"UAB ""Norfos mažmena"""	Birštono sav.	B.Sruogos g. 25, Birštonas	Butchers, CP;MM;MP	domestic trade	B.Sruogos g. 25, Birštonas , Birštono sav. , Lithuania	54,6048021	24,0196223
12-003P	Irinos Putrimienės ūkis	Birštono sav.	Matiešonių k., Birštono sav.	The producer of small quantities,	domestic trade	Matiešonių k., Birštono sav. , Birštono sav. , Lithuania	54,5669664	24,0093098
12-004 V	"UAB ""Palink"""	Birštono sav.	Dariaus ir Girėno g. 24, Birštonas	Butchers, CP;MM;MP	domestic trade	Dariaus ir Girėno g. 24, Birštonas , Birštono sav. , Lithuania	54,6055464	24,0284764
12-005 M	Ūkininkės Zitos Taujanskienės ūkis	Birštono sav.	Šaltinėnų k., Birštono sen., ir sav.	The producer of small quantities,	domestic trade	Šaltinėnų k., Birštono sen., ir sav. , Birštono sav. , Lithuania	54,5669664	24,0093098
12-007P	Prano Paškevičiaus ūkis	Birštono sav.	Vaitiškių k., Birštono sav.	The producer of small quantities,	domestic trade	Vaitiškių k., Birštono sav. , Birštono sav. , Lithuania		
12-01	"UAB ""Broileta"""	Birštono sav.	Birštono g. 41, Birštono vs.	Poultry, CP,A;MM,MP	 EU	Birštono g. 41, Birštono vs. , Birštono sav. , Lithuania	54,6065509	24,034789
12-03	Ūk. Edmundo Valatkos ūkis	Birštono sav.	Nečiūnų k., Birštono sav.	Meat, SH,P	 EU	Nečiūnų k., Birštono sav. , Birštono sav. , Lithuania	54,5605889	24,0632499
12-04	Birutės Revuckienės IĮ	Birštono sav.	Nemajūnų k., Birštono sav.	Meat, SH,B,O	 EU	Nemajūnų k., Birštono sav. , Birštono sav. , Lithuania	54,559051	24,0759439
12-08P	Sigito Radvilos ūkis	Birštono sav.	Gelažūnų k., Birštono sav.	The producer of small quantities,	domestic trade	Gelažūnų k., Birštono sav. , Birštono sav. , Lithuania		
15-001 Ž	"UAB ""Hesona"""	Druskininkų sav.	Grūto k.	The producer of small quantities,	domestic trade	Grūto k. , Druskininkų sav. , Lithuania	54,022091	24,079799
15-002 V	"UAB ""Mėsinukė"""	Druskininkų sav.	Neravų g. 19, Druskininkai	Butchers, CP;MP;MM	domestic trade	Neravų g. 19, Druskininkai , Druskininkų sav. , Lithuania	54,0235514	24,0059637
15-003 V	"UAB ""Palink"""	Druskininkų sav.	M.K.Čiurlionio g. 107, Druskininkai	Butchers, CP;MM;MP	domestic trade	M.K.Čiurlionio g. 107, Druskininkai , Druskininkų sav. , Lithuania	54,0112143	23,990489
15-004 V	MAXIMA LT, UAB	Druskininkų sav.	M.K.Čiurlionio g. 99	Butchers, CP;MM;MP	domestic trade	M.K.Čiurlionio g. 99 , Druskininkų sav. , Lithuania	54,0122926	23,9875752
15-004P	Arvydo Augaus pieno gamybos ūkis	Druskininkų sav.	Didžiasalio k., Leipalingio sen., Druski	The producer of small quantities,	domestic trade	Didžiasalio k., Leipalingio sen., Druski , Druskininkų sav. , Lithuania	54,045829	23,8922569
15-005P	Joanos Janulevičiūtės pieno gamybos ūkis	Druskininkų sav.	Kaštonų g. 34, Gailiūnai, Leipalingio se	The producer of small quantities,	domestic trade	Kaštonų g. 34, Gailiūnai, Leipalingio se , Druskininkų sav. , Lithuania	54,0420699	23,9994908
15-006 V	"UAB ""Norfos mažmena"""	Druskininkų sav.	Vytauto g. 21, Druskininikai	Butchers, CP;MM;MP	domestic trade	Vytauto g. 21, Druskininikai , Druskininkų sav. , Lithuania	54,0145633	23,9876824
15-006P	Joanos Adelės Levulienės pieno gamybos ūkis	Druskininkų sav.	Kaziulių k., Leipalingio sen., Druskinin	The producer of small quantities,	domestic trade	Kaziulių k., Leipalingio sen., Druskinin , Druskininkų sav. , Lithuania	54,0284048	23,9849225
15-01	"UAB ""Arnika"""	Druskininkų sav.	Gardino g. 55	Cold stores, CS	 EU	Gardino g. 55 , Druskininkų sav. , Lithuania	54,0020118	23,9861767
15-010P	Daivos Miliauskienės pieno gamybos ūkis	Druskininkų sav.	Didžiasalio k., Leipalingio sen., Druski	The producer of small quantities,	domestic trade	Didžiasalio k., Leipalingio sen., Druski , Druskininkų sav. , Lithuania	54,045829	23,8922569
15-011P	Bolio Marcinonio pieno gamybos ūkis	Druskininkų sav.	Gailiūnų g. 121, Gailiūnai, Leipalingio	The producer of small quantities,	domestic trade	Gailiūnų g. 121, Gailiūnai, Leipalingio , Druskininkų sav. , Lithuania	54,0420699	23,9994908
15-03	"UAB ""Hesona"""	Druskininkų sav.	Grūto k.	Other establishments, PP;sn	 EU	Grūto k. , Druskininkų sav. , Lithuania	54,022091	24,079799
15-04	"UAB ""Hesona"""	Druskininkų sav.	Grūto k., Druskininkų sav.	Wild game, SH,GHE;CP,fM,wA,wL,wU	 EU	Grūto k., Druskininkų sav. , Druskininkų sav. , Lithuania	54,022091	24,079799
17	"UAB ""Utenos mėsa"""	Utenos raj.	Pramonės 4, Utena	Meat, SH,B,P,O,st, GHE,wM;fM;CP;MM,MP;CS,RW	 EU  RU	Pramonės 4, Utena , Utenos raj. , Lithuania	55,5055746	25,6366141
18-001 P	Audriaus Kliučinsko pieno ūkis	Marijampolės raj.	Surgučiųk., Sasnavos sen., Marijampolės	The producer of small quantities,	domestic trade	Surgučiųk., Sasnavos sen., Marijampolės , Marijampolės raj. , Lithuania	54,5553929	23,3626146
18-001 V	"UAB ""Palink"""	Marijampolės m.	Vilkaviškio g. 72	Butchers, CP;MM;MP	domestic trade	Vilkaviškio g. 72 , Marijampolės m. , Lithuania	54,5628162	23,3337534
18-002 P	Valentino ir Almos Batvinų ūkis	Marijampolės raj.	Smilgių k, Sasnavos sen., Marijampolės s	The producer of small quantities,	domestic trade	Smilgių k, Sasnavos sen., Marijampolės s , Marijampolės raj. , Lithuania	54,616598	23,4957859
18-003 V	MAXIMA LT, UAB	Marijampolės m.	Bažnyčios g. 38, Marijampolė	Butchers, CP;MM;MP	domestic trade	Bažnyčios g. 38, Marijampolė , Marijampolės m. , Lithuania	54,5551602	23,3466742
18-004 V	"UAB ""Norfos mažmena"""	Marijampolės raj.	Draugystės g. 14, Marijampolė	Butchers, CP;MM;MP	domestic trade	Draugystės g. 14, Marijampolė , Marijampolės raj. , Lithuania	54,5664008	23,3626538
18-006 P	Giedriaus Čivinsko pieno ūkis	Marijampolės raj.	Margavos k., Igliaukos sen.	The producer of small quantities,	domestic trade	Margavos k., Igliaukos sen. , Marijampolės raj. , Lithuania	54,561167	23,572174
18-007 P	Laimos Vosylienės pieno ūkis	Marijampolės raj.	Liucinavo k., Liudvinavo sen.	The producer of small quantities,	domestic trade	Liucinavo k., Liudvinavo sen. , Marijampolės raj. , Lithuania	54,4667878	23,4289707
18-008 P	Juozo Ulevičiaus pieno ūkis	Marijampolės raj.	Pašešupių k., Liudvinavo sen.	The producer of small quantities,	domestic trade	Pašešupių k., Liudvinavo sen. , Marijampolės raj. , Lithuania	54,4667878	23,4289707
18-008 V	MAXIMA LT, UAB	Marijampolės m.	V.Kudirkos g. 3	Butchers, CP,MM,MP	domestic trade	V.Kudirkos g. 3 , Marijampolės m. , Lithuania	54,5599852	23,3546912
18-009 P	Daivos Norkuvienės pieno ūkis	Marijampolės raj.	Meškėnų k., Marijampolės sen.	The producer of small quantities,	domestic trade	Meškėnų k., Marijampolės sen. , Marijampolės raj. , Lithuania	54,5462019	23,482389
18-009 V	"UAB ""Palink"""	Marijampolės m.	Šiaulių g. 37	Butchers, CP;MM;MP	domestic trade	Šiaulių g. 37 , Marijampolės m. , Lithuania	54,5670207	23,3506825
18-01 P	"UAB ""Marijampolės pieno konservai"""	Marijampolės m.	Kauno g. 114	Milk establishments, PP;can	 EU  RU	Kauno g. 114 , Marijampolės m. , Lithuania	54,578933	23,3881329
18-010 V	UAB Norfos mažmena	Marijampolės m.	Klaipėdos g. 1, Marijampolė	Butchers, CP;MM;MP	domestic trade	Klaipėdos g. 1, Marijampolė , Marijampolės m. , Lithuania	54,5534087	23,3709192
18-010P	Ūkininkas Valdas Kazakevičius	Marijampolės raj.	Margavos k., Igliaukos sen.	The producer of small quantities,	domestic trade	Margavos k., Igliaukos sen. , Marijampolės raj. , Lithuania	54,561167	23,572174
18-011P	Ūkininkas Vytautas Kazys Adomaitis	Marijampolės raj.	Putriškių., Liudvinavo sen.	The producer of small quantities,	domestic trade	Putriškių., Liudvinavo sen. , Marijampolės raj. , Lithuania	54,5215709	23,462043
18-013P	Ūkininkė Gražina Petravičienė	Marijampolės raj.	Liucinavo k., Liudvinavo sen.	The producer of small quantities,	domestic trade	Liucinavo k., Liudvinavo sen. , Marijampolės raj. , Lithuania	54,4667878	23,4289707
18-015P	Ūkininkas Saulius Ruseckas	Marijampolės raj.	Klevinių k., Sasnavos sen.	The producer of small quantities,	domestic trade	Klevinių k., Sasnavos sen. , Marijampolės raj. , Lithuania	54,6300323	23,4817804
18-017P	"ŽŪK ,,Suvalkijos pienas"" Svetlicos pieno supirkimo punktas"	Marijampolės raj.	Svetlicos k., Marijampolė sav.,	Milk collection point,	 EU	Svetlicos k., Marijampolė sav., , Marijampolės raj. , Lithuania	54,5553929	23,3626146
18-018P	J. Vaitkevičienės IĮ Liudvinavo pieno supirkimo punktas	Marijampolės raj.	Liudvinavo k., Liudvinavo sen.,	Milk collection point,	 EU	Liudvinavo k., Liudvinavo sen., , Marijampolės raj. , Lithuania	54,4818289	23,355497
18-02	"UAB ""Gergidita"""	Marijampolės m.	Draugystės g. 14A, Marijampolė	Meat, CP	 EU	Draugystės g. 14A, Marijampolė , Marijampolės m. , Lithuania	54,5655925	23,3631114
18-020P	J. Vaitkevičienės IĮ Daukšių pieno supirkimo punktas	Marijampolės raj.	Daukšių k., Igliaukos sen.,	Milk collection point,	 EU	Daukšių k., Igliaukos sen., , Marijampolės raj. , Lithuania	54,5012629	23,5859359
18-021 M	Ūkininkė Dalia Genovaitė Patackienė	Marijampolės m.	Skaiščiūnų k., Marijampolės sav.	The producer of small quantities, SH,L	domestic trade	Skaiščiūnų k., Marijampolės sav. , Marijampolės m. , Lithuania	54,5543319	23,2846599
18-022P	Ūkininkas Ričardas Glinskas	Marijampolės raj.	Būdbalių k., Liudvinavo sen.	The producer of small quantities,	domestic trade	Būdbalių k., Liudvinavo sen. , Marijampolės raj. , Lithuania	54,4667878	23,4289707
18-023M	"UAB ""Tėviškės mėsa"""	Marijampolės raj.	Sodo g.27,Gavaltuvos k.,Marijampolės sav	The producer of small quantities,	domestic trade	Sodo g.27,Gavaltuvos k.,Marijampolės sav , Marijampolės raj. , Lithuania	54,5517685	23,3457934
18-026P	"UAB ,,Marijampolės pieno konservai"" Baraginės pieno punktas"	Marijampolės raj.	Baraginės k., Marijampolės sav.,	Milk collection point,	 EU	Baraginės k., Marijampolės sav., , Marijampolės raj. , Lithuania	54,5838279	23,4374029
18-027P	"UAB ,,Marijampolės pieno konservai"" Valavičių pieno punktas"	Marijampolės raj.	Valavičių k., Marijampolės sav.,	Milk collection point,	 EU	Valavičių k., Marijampolės sav., , Marijampolės raj. , Lithuania	54,489922	23,2023189
18-028P	"UAB ,,Marijampolės pieno konservai"" Gavaltuvos pieno punktas"	Marijampolės raj.	Gavaltuvos k., Sasnavos sen.,	Milk collection point,	 EU	Gavaltuvos k., Sasnavos sen., , Marijampolės raj. , Lithuania	54,6748429	23,4066789
18-029P	"UAB ,,Marijampolės pieno konservai"" Igliaukos pieno punktas"	Marijampolės raj.	Igliaukos k., Igliaukos sen.,	Milk collection point,	 EU	Igliaukos k., Igliaukos sen., , Marijampolės raj. , Lithuania	54,568609	23,6544139
18-03	"UAB ""Mantinga"""	Marijampolės m.	Draugystės g.12, Marijampolė	Meat, MP	 EU	Draugystės g.12, Marijampolė , Marijampolės m. , Lithuania	54,5652328	23,3628932
18-030P	"UAB ,,Marijampolės pieno konservai"" Igliškėlių pieno punktas"	Marijampolės raj.	Igliškėlių k., Marijampolės sav.,	Milk collection point,	 EU	Igliškėlių k., Marijampolės sav., , Marijampolės raj. , Lithuania	54,565514	23,5396051
18-031P	"UAB ,,Marijampolės pieno konservai"" Iglės pieno punktas"	Marijampolės raj.	Igliaukos k., Igliaukos sen.,	Milk collection point,	 EU	Igliaukos k., Igliaukos sen., , Marijampolės raj. , Lithuania	54,568609	23,6544139
18-032P	"UAB ,,Marijampolės pieno konservai"" Daukšių pieno punktas"	Marijampolės raj.	Daukšių k., Igliaukos sen.,	Milk collection point,	 EU	Daukšių k., Igliaukos sen., , Marijampolės raj. , Lithuania	54,5012629	23,5859359
18-033P	"UAB ,,Marijampolės pieno konservai"" Varnupių pieno punktas"	Marijampolės raj.	Varnupių k., Igliaukos sen.,	Milk collection point,	 EU	Varnupių k., Igliaukos sen., , Marijampolės raj. , Lithuania	54,4875989	23,521375
18-034P	"UAB ,,Marijampolės pieno konservai"" Sasnavos pieno punktas"	Marijampolės raj.	Sasnavos mst., Sasnavos sen.,	Milk collection point,	 EU	Sasnavos mst., Sasnavos sen., , Marijampolės raj. , Lithuania	54,649769	23,4623559
18-035P	"UAB ,,Marijampolės pieno konservai"" Šunskų pieno punktas"	Marijampolės raj.	Šunskų k., Šunskų sen.,	Milk collection point,	 EU	Šunskų k., Šunskų sen., , Marijampolės raj. , Lithuania	54,6420909	23,3270449
18-036P	"UAB ,,Marijampolės pieno konservai"" Tursučių pieno punktas"	Marijampolės raj.	Tursučių k., Šunskų sen.,	Milk collection point,	 EU	Tursučių k., Šunskų sen., , Marijampolės raj. , Lithuania	54,6110019	23,3476439
18-036P	"UAB ,,Marijampolės pieno konservai"" Tautkaičių pieno punktas"	Marijampolės raj.	Tautkaičių k., Sasnavos sen.,	Milk collection point,	 EU	Tautkaičių k., Sasnavos sen., , Marijampolės raj. , Lithuania	54,6111829	23,439523
18-038P	"UAB ,,Marijampolės pieno konservai"" Želsvelės pieno punkta"	Marijampolės raj.	Želsvos k., Liudvinavo sen.,	Milk collection point,	 EU	Želsvos k., Liudvinavo sen., , Marijampolės raj. , Lithuania	54,4287989	23,4047249
18-039P	"ŽŪK ,,Melbras"" Atžalyno pieno punktas"	Marijampolės raj.	Meškučių k., Marijampolės sav.	Milk collection point,	 EU	Meškučių k., Marijampolės sav. , Marijampolės raj. , Lithuania	54,5177439	23,29763
18-04	"UAB ""Suvalkijos mėsinė"""	Marijampolės raj.	Parko g. 3, Narto k., Liudvinavo sen.	Meat, PP,mp;MP,MM;CP	 EU	Parko g. 3, Narto k., Liudvinavo sen. , Marijampolės raj. , Lithuania	54,5042378	23,3681051
18-040P	"ŽŪK ,,Melbras"" Balsupių pieno punktas"	Marijampolės raj.	Balsupių k., Marijampolės sav.,	Milk collection point,	 EU	Balsupių k., Marijampolės sav., , Marijampolės raj. , Lithuania	54,562034	23,206846
18-041P	"ŽŪK ,,Suvalkijos pienas"" Valavičių pieno supirkimo punktas"	Marijampolės raj.	Valavičių k., Marijampolės sav.,	Milk collection point,	 EU	Valavičių k., Marijampolės sav., , Marijampolės raj. , Lithuania	54,489922	23,2023189
18-042P	"AB ,,Rokiškio sūris"" Sasnavos pieno supirkimo punktas"	Marijampolės raj.	Sasnavos mst., Sasnavos sen.,	Milk collection point,	 EU	Sasnavos mst., Sasnavos sen., , Marijampolės raj. , Lithuania	54,649769	23,4623559
18-043P	"AB ,,Rokiškio sūris"" Igliškėlių pieno supirkimo punktas"	Marijampolės raj.	Igliškėlių k., Marijampolės sav.,	Milk collection point,	 EU	Igliškėlių k., Marijampolės sav., , Marijampolės raj. , Lithuania	54,565514	23,5396051
18-044P	"KB ,,Dzūkijos pienas"" Gudelių pieno supirkimo punktas"	Marijampolės raj.	Gudelių k., Gudelių sen.,	Milk collection point,	 EU	Gudelių k., Gudelių sen., , Marijampolės raj. , Lithuania	54,5273049	23,6887471
18-045 K	Ūk. Ona Baltrušaitienė	Marijampolės raj.	Sasnavos sen., Marijampolės sav.	The producer of small quantities,	domestic trade	Sasnavos sen., Marijampolės sav. , Marijampolės raj. , Lithuania	54,6300323	23,4817804
18-047	Ūk. Vytautas Ilevičius	Marijampolės raj.	Naujienos k., Marijampolės sav.	The producer of small quantities,	domestic trade	Naujienos k., Marijampolės sav. , Marijampolės raj. , Lithuania	54,5553929	23,3626146
18-047	Ūkininko Vytauto Ilevičiaus ūkis PF	Marijampolės raj.	Ažuolų g. 8, Narto Naujienos k.,	The producer of small quantities,	domestic trade	Ažuolų g. 8, Narto Naujienos k., , Marijampolės raj. , Lithuania	54,5402763	23,3678073
18-05	UAB Marijampolės muitinės terminalas	Marijampolės m.	Statybininkų g. 4, Marijampolė	Cold stores, CS;pc	 EU	Statybininkų g. 4, Marijampolė , Marijampolės m. , Lithuania	54,5782421	23,3756635
18-06	"UAB ""Eimasa"""	Marijampolės m.	Suvalkijos g. 51, Bitikų k. Sasnavos sen	Meat, PP,mp;MM,MP	 EU	Suvalkijos g. 51, Bitikų k. Sasnavos sen , Marijampolės m. , Lithuania	54,6331817	22,7684787
18-07	Ūkininko Vytauto Ilevičiaus ūkis	Marijampolės raj.	Ąžuolų g. 8, Narto Naujienos k., Liudvin	Poultry, SH, A, CP;SH, A, CP	 EU	Ąžuolų g. 8, Narto Naujienos k., Liudvin , Marijampolės raj. , Lithuania	54,7086164	23,576191
18-11	"UAB ""Mantinga Food"""	Marijampolės m.	Stoties g. 51	Meat, PP,mp	 EU	Stoties g. 51 , Marijampolės m. , Lithuania	54,5651989	23,3677082
19-001	"UAB ""Palink"""	Kauno m.	Savanorių pr. 111-1	Butchers,	domestic trade	Savanorių pr. 111-1 , Kauno m. , Lithuania	54,9045	23,9158699
19-002 V	"UAB ""Palink"""	Kauno m.	Šiaurės pr. 91	Butchers, CP;MM;MP	domestic trade	Šiaurės pr. 91 , Kauno m. , Lithuania	54,9307468	23,9367731
19-003 V	"UAB ""Palink"""	Kauno m.	Varnių g. 38a	Butchers, CP;MM;MP	domestic trade	Varnių g. 38a , Kauno m. , Lithuania	54,914394	23,8967759
19-004 V	"UAB ""Palink"""	Kauno m.	Jonavos g. 3	Butchers, CP;MM;MP	domestic trade	Jonavos g. 3 , Kauno m. , Lithuania	54,900805	23,8912405
19-005 V	"UAB ""Palink"""	Kauno m.	Kovo 11-osios g. 22	Butchers, CP;MM;MP	domestic trade	Kovo 11-osios g. 22 , Kauno m. , Lithuania	54,906013	23,9750064
19-006 V	"UAB ""Palink"""	Kauno m.	Kuršių g. 44	Butchers, CP;MM;MP	domestic trade	Kuršių g. 44 , Kauno m. , Lithuania	54,935406	23,8970479
19-007 V	"UAB ""Palink"""	Kauno m.	Veiverių g. 150	Butchers, CP;MM;MP	domestic trade	Veiverių g. 150 , Kauno m. , Lithuania	54,8634593	23,8866132
19-008 V	MAXIMA LT, UAB	Kauno m.	Krėvės pr. 14b	Butchers, CP;MM;MP	domestic trade	Krėvės pr. 14b , Kauno m. , Lithuania	54,9149609	23,962626
19-009 V	"UAB ""Rimi Lietuva"""	Kauno m.	Raudondvario pl. 94B, Kaunas	Butchers, CP;MM;MP	domestic trade	Raudondvario pl. 94B, Kaunas , Kauno m. , Lithuania	54,9086769	23,8658497
19-01	"UAB ""Ramvida"""	Kauno m.	Draugystės g. 19, Kaunas	Meat, MP	 EU	Draugystės g. 19, Kaunas , Kauno m. , Lithuania	54,9071984	24,0018835
19-01 P	"AB ""Pieno žvaigždės"" filialas ""Kauno pienas"""	Kauno m.	Taikos pr. 90	Milk establishments, PP;CS;WH;RW	 EU  RU BY	Taikos pr. 90 , Kauno m. , Lithuania	54,9175109	23,9929261
19-010 V	Dalios Krivošejevienės ĮI	Kauno m.	Panerių g. 26	Butchers, CP;MM;MP	domestic trade	Panerių g. 26 , Kauno m. , Lithuania	54,908098	23,8848947
19-011 V	MAXIMA LT, UAB	Kauno m.	Pramonės pr. 29	Butchers, CP;MM;MP	domestic trade	Pramonės pr. 29 , Kauno m. , Lithuania	54,9119229	23,98324
19-012 V	"UAB ""Rimi Lietuva"""	Kauno m.	Juozapavičiaus pr. 11	Butchers,	domestic trade	Juozapavičiaus pr. 11 , Kauno m. , Lithuania	54,865139	23,945205
19-013 V	"UAB ""Rimsena"""	Kauno m.	Kaimynų g. 9	Butchers, CP;MM;MP	domestic trade	Kaimynų g. 9 , Kauno m. , Lithuania	54,9119182	23,9604555
19-014 V	"UAB ""Norfos mažmena"""	Kauno m.	Baltų g. 195, Kaunas	Butchers, CP,MM,MP	domestic trade	Baltų g. 195, Kaunas , Kauno m. , Lithuania	54,9162334	23,8629414
19-015 V	"UAB ""Rimi Lietuva"""	Kauno m.	V.Krėvės pr. 43a	Butchers, CP;MM;MP	domestic trade	V.Krėvės pr. 43a , Kauno m. , Lithuania	54,9176439	23,966289
19-016 V	"UAB ""Palink"""	Kauno m.	Partizanų g. 134	Butchers, MM;MP;CP	domestic trade	Partizanų g. 134 , Kauno m. , Lithuania	54,930127	23,9865018
19-017 V	"UAB ""Rimi Lietuva"""	Kauno m.	Prancūzų g. 81	Butchers, CP;MM;MP	domestic trade	Prancūzų g. 81 , Kauno m. , Lithuania	54,8917139	23,9493
19-018 V	"UAB ""Norfos mažmena"""	Kauno m.	Taikos pr. 81	Butchers, CP;MM;MP	domestic trade	Taikos pr. 81 , Kauno m. , Lithuania	54,9121013	23,9698342
19-019V	"UAB ""Norfos mažmena"""	Kauno m.	Šiaurės pr. 44, Kaunas	Butchers,	domestic trade	Šiaurės pr. 44, Kaunas , Kauno m. , Lithuania	54,9292543	23,9266913
19-02	"UAB ""Vesta-inter"""	Kauno m.	Ateities pl. 34, Kaunas	Meat, MP;MM	 EU	Ateities pl. 34, Kaunas , Kauno m. , Lithuania	54,9106079	24,0381631
19-020	"UAB ""Palink"""	Kauno m.	V.Krėvės pr. 97-1	Butchers,	domestic trade	V.Krėvės pr. 97-1 , Kauno m. , Lithuania	54,9247371	23,9821364
19-021	"UAB ""Tartaras"""	Kauno m.	Savanorių pr. 255, Kaunas	Butchers,	domestic trade	Savanorių pr. 255, Kaunas , Kauno m. , Lithuania	54,914818	23,9382794
19-022 V	MAXIMA LT, UAB	Kauno m.	Šarkuvos g. 1a	Butchers, CP;MM;MP	domestic trade	Šarkuvos g. 1a , Kauno m. , Lithuania	54,9333414	23,8866664
19-023 V	UAB Rimi Lietuva	Kauno m.	Romainių g. 67 C, Kaunas	Butchers,	domestic trade	Romainių g. 67 C, Kaunas , Kauno m. , Lithuania	54,942927	23,8132081
19-024 V	"UAB ""Palink"""	Kauno m.	Baltų pr. 81	Butchers, CP;MM;MP	domestic trade	Baltų pr. 81 , Kauno m. , Lithuania	54,9268934	23,8790506
19-025 V	"UAB ""Carnaria"""	Kauno m.	Sukilėlių pr. 86a	Butchers, CP;MM;MP	domestic trade	Sukilėlių pr. 86a , Kauno m. , Lithuania	54,9257	23,9293433
19-026 V	"UAB ""Palink"""	Kauno m.	P.Lukšio g. 60	Butchers, CP;MM;MP	domestic trade	P.Lukšio g. 60 , Kauno m. , Lithuania	54,92642	23,94831
