Nº RGSEAA; Razón Social;Provincia/Localidad;lat;lng;Actividades;Especies;Otros Detalles
10.07450/SA;JUANSI, S. A.;Salamanca/GUIJUELO;40.5575663;-5.6715735;CP, PP;;MP
10.07456/CC;PRODUCTOS CARNICOS AHJE S.A.;Cáceres/BAÑOS;40.3185277043;-5.8579113847;PP;;MP
10.07457/SA;FRANCISCO GUTIERREZ NIETO, S. L.;Salamanca/SANTIBAÑEZ DE BEJAR;40.4885673;-5.6118141;PP;;MP
10.07458/CO;COMERCIALIZADORA LOS TITOS S.L.;Córdoba/VILLANUEVA DE CORDOBA;38.3224271;-4.6286748;CP, PP;;MP
10.07459/SA;JAMONES Y EMBUTIDOS ANTONIO MARTIN E HIJOS S.L.;Salamanca/NAVA DE BEJAR;40.475455;-5.6793766;PP;;MP
10.07460/SA;EXFADE, S. L.;Salamanca/CALZADA DE VALDUNCIEL;41.0866628;-5.7023399;CP, PP;;MP
10.07461/SA;CHACINAS DE LA SIERRA DE SALAMANCA, S.A.;Salamanca/SAN ESTEBAN DE LA SIERRA;40.4384348;-5.7527304;PP;;MP
10.07462/MU;MATADERO DE JUMILLA, C.B.;Murcia/JUMILLA;38.4734708;-1.3285448;SH;C, O;
10.07464/T;CORPORACION ALIMENTARIA GUISSONA SA;Tarragona/TORTOSA;40.8111899;0.5207492;CS, CP;;
10.07471/T;ESCORXADOR BAIX CAMP SA;Tarragona/REUS;41.1555564;1.1076133;SH;B, C, O, S;
10.07485/LU;CARNICOS RIO S.L.;Lugo/RIOTORTO;43.3248159;-7.273209188;RW, CP, MM, MP, PP;;PAP, MP
10.07489/AL;JAMONES DE SERON MARTINEZ Y PIERRES S.L.;Almería/SERON;37.3437187;-2.5084242;PP;;MP
10.07492/SE;INDUSTRIAS CARNICAS GARCIA BAQUERO SOCIEDAD COOPERATIVA LIMITADA;Sevilla/RINCONADA (LA);37.4867198;-5.9814868;RW, CP, MM, MP, PP;;MP
10.07502/BA;SIERRA EXTREMEÑA S.L.;Badajoz/CASTUERA;38.7203084;-5.5462917;CP, PP;;MP
10.07504/BU;EMBUTIDOS CARDEÑA S.L.U.;Burgos/VILLANUEVA DE ARGAÑO;42.3807002;-3.9330108;PP;;MP
10.07510/MA;GUILLEN COZAR, ANTONIO LUIS;Málaga/ALGATOCIN;36.5726531;-5.2754868;CP, PP;;MP
