code;name;street;city;postalcode;lat;lng
DK 4482 EF;Fiskeriforeningen Ulvsund, v/Preben Nielsen;Kalvehave Havnevej 26;Kalvehave;4771;54.9952830;12.1647600
DK 4483 EF;Kramnitze havn Fiskehus;Kramnitsevej 18, Kramnitse Havn;Rødby;4970;54.6940639;11.3902205
DK 4490 EF;S 107 Skagerak;Ferslevsvej 22;Skagen;9990;57.7207930;10.5621030
DK 4504 EF;Tayyib Food ApS;Hassellunden 11B;Smørum;2765;55.7316650;12.2968000
DK 4506 EF;Cocio Chokolademælk A/S;Øresundsvej 15;Esbjerg;6715;55.5099660;8.4766810
DK 4513 EF;J. Chr. Juhl Røgeri A/S;Sdr. Havnekaj 16;Kerteminde;5300;55.4494140;10.6649560
DK 4514 EF;J CHR JUHL A/S;Dosseringen 35;Kerteminde;5300;55.4489060;10.6631480
DK 4521 EF;PANDALUS A/S;Industrivangen 3;Hanstholm;7730;57.1108480;8.6394840
DK 4525 EF;A. Espersen A/S;Strandgade 8;Hasle;3790;55.1831400;14.7029350
DK 4526 EF;A. Espersen A/S;Bådebyggervej 6;Rønne;3700;55.0916800;14.6930830
DK 4531 EF;EKKO FISK AF 2002 A/S;Bådebrogade 2;Esbjerg;6700;55.4786740;8.4263100
DK 4535 EF;Kølecontainer - Køge Fiskeriforening;Havnen 2;Køge;4600;55.4548080;12.1870270
DK 4539 EF;Uhrenholt A/S, Grøndal Mejeri;Hornelandevej 43;Faaborg;5600;55.1092480;10.1668530
